id,name,set_name,set_code,set_id,rarity,card_type,card_number
pk_2c408dd15af7bfa4fedf80caa3bb050a7685d0f7b0e7da5a6e9df74dd766d05fbfac1eb9ad9580fde76b0427cda741b2,Black Belt's Training,ME: Ascended Heroes,ASC,24541,Ultra Rare,Trainer,255/217
pk_c33ae71fa5e1949d382017955e849ff382b3dc2bb8ed41283f34c027210d5734fc055a4af3a49e4840587b50fe95d2d6,Counter Gain - 259/217,ME: Ascended Heroes,ASC,24541,Ultra Rare,Trainer,259/217
pk_d1d93b689ac607621de93e36b76a8542b837b5338e95c07e9b30cb87e9efbe4327a54fb99de12b94fc013e39b7bca58f,Surfer - 293/217,ME: Ascended Heroes,ASC,24541,Special Illustration Rare,Trainer,293/217
pk_d3cccff31b86c7b2745b0ad372fcce08195fde5ee810313aa913179f16dacbaec2523b9e03c63c4eaf321aa3a344dbb5,Slurpuff - 236/217,ME: Ascended Heroes,ASC,24541,Illustration Rare,Psychic,236/217
pk_848feaf0e1b6916f257edbe47cab7b9e37933eb82dd607a5a3a2c6818d6a036ea25a75d05bc48e3cc4f27a89004bab5d,Canari - 291/217,ME: Ascended Heroes,ASC,24541,Special Illustration Rare,Trainer,291/217
pk_a997c435954c9265e224167faac1346407d9127933dde6f8309d8086013cf55be74f9af3bf25cf8afdbae5a4cd1222b2,Erika's Tangela - 218/217,ME: Ascended Heroes,ASC,24541,Illustration Rare,Grass,218/217
pk_b103f1f9186909c48a71aebf0ebf796f8af8f02628bf978827234dbb0360723ee15e58e0120d45781ca3c4fffb6e40,Beautifly - 013/217,ME: Ascended Heroes,ASC,24541,Uncommon,Grass,013/217
pk_c18aab117831c77a6bc1d8eaa714fc3c04942eb972a6cf0c61c9a07ac2b169048527f46adb7c4eb1447aaf9ee930d063,Mega Scrafty ex - 285/217,ME: Ascended Heroes,ASC,24541,Special Illustration Rare,Darkness,285/217
pk_fa30a6fefbee81f78d2a86fc87c8d0550abf299d40114a150a021f7b0fcba64d5bc8b1abdc99e77abc577bdd329b,Erika's Gloom,ME: Ascended Heroes,ASC,24541,Uncommon,Grass,002/217
pk_491c77401f5518e863b184af027d063ffbbe17977005fc3a63c0d0a631c9ac3c58463fe937bc1adafb0003578f902b38,Mega Hawlucha ex - 268/217,ME: Ascended Heroes,ASC,24541,Mega Attack Rare,Fighting,268/217
pk_0caac08f6b1cbe09d28a9e4fc14597f967f2cb3eee4d16a7966f635d598c9005bc2dac9436097829d5e602526883993a,Mega Emboar ex - 273/217,ME: Ascended Heroes,ASC,24541,Special Illustration Rare,Fire,273/217
