id,name,set_name,set_code,set_id,rarity,card_type,card_number
pk_d48425dbfbbe0deec451c1b733ab03609a3ce69816de28e42bf13cb3011673c0aff0419defd41cffe21394f882cb7a,Staryu,ME03: Perfect Order,POR,24587,Common,Water,020/088
pk_ff4840d720ea7ba0c44e585d8f863bbf2903de93a8d9f967c66f8cfcd34eb4d089c93012834e8bef4d8d02b8f81e68,Jacinthe - 075/088,ME03: Perfect Order,POR,24587,Uncommon,Trainer - Supporter,075/088
pk_9a566c22d95bc1f0f907c0d57a0ad942b552a239c172dcb227c416d9fde6cab5c4d862169572858ea7b857c0379f29,Tyrantrum,ME03: Perfect Order,POR,24587,Rare,Fighting,045/088
pk_24eb8807032aac1a291633037f3c6909bca40e323fe87fcc3a2f5418977b2c9dc071414ab043243cd59f5b0da9e103,Mega Starmie ex - 021/088,ME03: Perfect Order,POR,24587,Double Rare,Water,021/088
pk_4be8c2bd7b1e5fe6aedfba5b8c4c4d27776e858296ff1dd13aae528c5a6436544eb067d6bd5b4db4dc6ab98d8fcbf4,Aromatisse,ME03: Perfect Order,POR,24587,Uncommon,Psychic,036/088
pk_a889cb3e05417faed8b11ab464eabce36649ff03f81739f45041c1e7a90840b386f428d835a73c71962efe3e2b2f59,Volcanion,ME03: Perfect Order,POR,24587,Uncommon,Water,025/088
pk_158426023282b55f8d57a5f4da9a94a5bfc073f5285b5116fd278044b2cdd97597023ccdc7a67c39a9df265335e6ca,Energy Swatter,ME03: Perfect Order,POR,24587,Uncommon,Trainer - Item,073/088
pk_3b4f7538b8c13d2bae5e522946b18cf0d38de0eec75c2a504df0d1309d14098bff553d97dda2945204cf47d4e555,Vivillon,ME03: Perfect Order,POR,24587,Uncommon,Grass,009/088
pk_5278dd338a1e41f380e98376f15abbf045fcf89241d91fc3027bb4d67fd1917cbd6734e94a6fc903e0aa9cd23e9044,Rowlet - 010/088,ME03: Perfect Order,POR,24587,Common,Grass,010/088
pk_6f8aba63f2a69c5ce58558b5e6f4c86c93f38f7d2dd34aede141bc4084375d146be8a69741fdef31bde182d22c5d3f,Aegislash,ME03: Perfect Order,POR,24587,Uncommon,Metal,058/088
pk_d86e9359b1b349002036074ba38c93aafa5542c64ab2a80addd27da00525ae89bc0dd990f37b91fcb1a81542a336bf,Drapion - 052/088,ME03: Perfect Order,POR,24587,Uncommon,Darkness,052/088
pk_dafba7691504e3a1e5944296aff089b01f4f99325c052c0d6c64931330664a7ecdf32e0123fa5e7b641163b6dbc49e,Fletchling,ME03: Perfect Order,POR,24587,Common,Colorless,066/088
pk_c14fcf6422f5bf75c1519d2a64d1548f51a62bb753e996a76e03067790cb0ecd287b054e1c3d8968d5207e055de4f2,Mega Zygarde ex - 047/088,ME03: Perfect Order,POR,24587,Double Rare,Fighting,047/088
pk_06d48db1c9e19fa70ca9b8f30b427e7fee823a0fcf53ab69c4d73bfe83ced98d98c1dec2a8d5a9135b4f9a3187b17b,Meowstic,ME03: Perfect Order,POR,24587,Uncommon,Psychic,034/088
pk_91c6502fb0a37a79994ce1398d7b6c12b5b49a435e31f79561b783e47170bad6e098a58025b96c05008e1c1fbf4b2e,Aurorus - 092/088,ME03: Perfect Order,POR,24587,Shiny Rare,Water,092/088
pk_960e401a4825b0442c9297c2f6bafd56812150d73e8f7db199a9efb8283e8abbca1f2dc08e8279dac76b7fe3ab66a7,Gastly,ME03: Perfect Order,POR,24587,Common,Darkness,048/088
pk_a718df963b8cc270179cf96d93bb14e99d3952f67dcadfaf802f0a8f00c873d58679d9cf0a1a9ab72477c4abcebb7c,Poke Ball,ME03: Perfect Order,POR,24587,Common,Trainer - Item,080/088
pk_b0207ac276cd90f702ff79469d93f4ca5c8c8f517e5ba7ad0bacc524f67d46efb4244964f3a8f0554f05de6453beec,Meowth ex - 062/088,ME03: Perfect Order,POR,24587,Double Rare,Colorless,062/088
pk_be0d6db5015a206833ef26a02034e69d7678b8e97a59640c169518d4ca46c26324faeec19e55a62ecc2040d682c14f,Snorlax,ME03: Perfect Order,POR,24587,Common,Colorless,063/088
pk_a8690e50343b248e42197945afac765a38fe0bb44356958bc1ec3db66ad231efe19bbed4838280388cefe807cfa0fd,Telepathic Psychic Energy,ME03: Perfect Order,POR,24587,Rare,Special Psychic Energy,088/088
pk_6d51bc766af04e054ef88dd46ce3e1f600dcc3372bb41e41ef3b10d6a4cd6960da1a9421dbbcb9f155a7b9739cd3db,Espurr - 033/088,ME03: Perfect Order,POR,24587,Common,Psychic,033/088
