card_name,card_clean_name,card_set_name,card_set_code,card_set_id,card_number,tcgplayer_url,cardmarket_url,low_price,mid_price,high_price,updated_at,direct_low_price,sub_type_name
Glass Trumpet,Glass Trumpet,SV: Prismatic Evolutions,PRE,23821,110/131,https://www.tcgplayer.com/product/610465,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glass-Trumpet-PRE110,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Jolteon ex,,,PRE,23821,30,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Jolteon-ex-V1-PRE030,,,,,,
Prime Catcher,Prime Catcher,SV: Prismatic Evolutions,PRE,23821,119/131,https://www.tcgplayer.com/product/610474,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Prime-Catcher-PRE119,0.09,0.75,4321.0,2026-06-12T08:53:22.81957,0.6,Holofoil
Amarys - 132/131,Amarys,SV: Prismatic Evolutions,PRE,23821,132/131,https://www.tcgplayer.com/product/610487,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Amarys-V2-PRE132,0.15,0.78,4321.0,2026-06-12T08:53:22.81957,0.56,Holofoil
Larvitar,,,PRE,23821,47,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Larvitar-PRE047,,,,,,
Maximum Belt,Maximum Belt,SV: Prismatic Evolutions,PRE,23821,117/131,https://www.tcgplayer.com/product/610472,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Maximum-Belt-PRE117,0.1,0.66,4321.0,2026-06-12T08:53:22.81957,,Holofoil
Iron Boulder,,,PRE,23821,46,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Iron-Boulder-PRE046,,,,,,
Rescue Board,Rescue Board,SV: Prismatic Evolutions,PRE,23821,126/131,https://www.tcgplayer.com/product/610481,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Rescue-Board-PRE126,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.01,Normal
Dusclops,,,PRE,23821,36,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Dusclops-PRE036,,,,,,
Snorlax ex,,,PRE,23821,76,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Snorlax-ex-PRE076,,,,,,
Wellspring Mask Ogerpon ex,,,PRE,23821,27,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Wellspring-Mask-Ogerpon-ex-V1-PRE027,,,,,,
Espeon ex,,,PRE,23821,34,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Espeon-ex-V1-PRE034,,,,,,
Larry's Skill - 139/131,Larry's Skill,SV: Prismatic Evolutions,PRE,23821,139/131,https://www.tcgplayer.com/product/610494,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Larrys-Skill-V2-PRE139,0.3,1.0,999.0,2026-06-12T08:53:22.81957,,Holofoil
Dudunsparce,,,PRE,23821,80,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Dudunsparce-PRE080,,,,,,
Hearthflame Mask Ogerpon ex - 148/131,Hearthflame Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,148/131,https://www.tcgplayer.com/product/610503,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Hearthflame-Mask-Ogerpon-ex-V2-PRE148,18.0,23.0,999.0,2026-06-12T08:53:22.81957,,Holofoil
Professor Turo's Scenario,Professor Turos Scenario,SV: Prismatic Evolutions,PRE,23821,121/131,https://www.tcgplayer.com/product/610476,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Professor-Turos-Scenario-PRE121,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.06,Normal
Janine's Secret Art - 112/131,Janine's Secret Art,SV: Prismatic Evolutions,PRE,23821,112/131,https://www.tcgplayer.com/product/610467,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Janines-Secret-Art-V1-PRE112,0.01,0.22,999.0,2026-06-12T08:53:22.81957,0.01,Reverse Holofoil
Aromatisse,,,PRE,23821,39,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Aromatisse-PRE039,,,,,,
Amarys - 170/131,Amarys,SV: Prismatic Evolutions,PRE,23821,170/131,https://www.tcgplayer.com/product/610525,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Amarys-V3-PRE170,13.25,17.5,999.0,2026-06-12T08:53:22.81957,17.0,Holofoil
Earthen Vessel,Earthen Vessel,SV: Prismatic Evolutions,PRE,23821,106/131,https://www.tcgplayer.com/product/610461,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Earthen-Vessel-PRE106,0.04,0.3,999.0,2026-06-12T08:53:22.81957,0.18,Reverse Holofoil
Litleo,Litleo,SM - Forbidden Light,SM06,2209,18/131,https://www.tcgplayer.com/product/165665,https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Litleo-FLI018,15.29,17.65,20.0,2026-06-07T08:18:32.103877,,Reverse Holofoil
Remoraid,Remoraid,CP4: Premium Champion Pack,CP4,23972,024/131,https://www.tcgplayer.com/product/605521,https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Remoraid,2.5,4.95,7.89,2026-06-07T08:18:41.300825,,Normal
