type,results_id,results_card_info_name,results_card_info_clean_name,results_card_info_set_name,results_card_info_set_code,results_card_info_set_id,results_card_info_card_number,results_card_info_rarity,results_card_info_card_type,results_card_info_hp,results_card_info_stage,results_card_info_card_text,results_card_info_attacks,results_card_info_weakness,results_card_info_resistance,results_card_info_retreat_cost,results_tcgplayer_prices,results_tcgplayer_url,results_cardmarket_product_name,results_cardmarket_prices,results_cardmarket_product_url
Card,pk_d3cccff31b86c7b2745b0ad372fcce08195fde5ee810313aa913179f16dacbaec2523b9e03c63c4eaf321aa3a344dbb5,Slurpuff - 236/217,Slurpuff,ME: Ascended Heroes,ASC,24541,236/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 8.5, 'mid_price': 10.43, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 9.57, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676048,Slurpuff,"[{'avg': 3.44, 'low': 1.2, 'avg1': 3.28, 'avg7': 3.46, 'avg30': 3.49, 'trend': 3.81, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Slurpuff-V2-ASC236
Card,pk_a997c435954c9265e224167faac1346407d9127933dde6f8309d8086013cf55be74f9af3bf25cf8afdbae5a4cd1222b2,Erika's Tangela - 218/217,Erika's Tangela,ME: Ascended Heroes,ASC,24541,218/217,Illustration Rare,Grass,,,,[],,,,"[{'low_price': 25.79, 'mid_price': 30, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 27.34, 'direct_low_price': 28, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676030,Erika's Tangela,"[{'avg': 15.6, 'low': 5.9, 'avg1': 15.18, 'avg7': 15.15, 'avg30': 14.9, 'trend': 16.8, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Erikas-Tangela-V2-ASC218
Card,pk_fae221ecaaf50b6782d0ca2efddef9a9b2a7018c6ab1703afe15c54495a0d92d6a21888d23eea71639fa064be6c37ecb,Team Rocket's Dugtrio - 239/217,Team Rocket's Dugtrio,ME: Ascended Heroes,ASC,24541,239/217,Illustration Rare,Fighting,,,,[],,,,"[{'low_price': 12.79, 'mid_price': 16.7, 'high_price': 122.2, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 15.58, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676051,Team Rocket's Dugtrio,"[{'avg': 8.04, 'low': 2.5, 'avg1': 8.32, 'avg7': 8.04, 'avg30': 7.86, 'trend': 8.52, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Team-Rockets-Dugtrio-V2-ASC239
Card,pk_838c67b30b100d37013bf5035b0913295360a61792a917b44fc3b7d08d3a16aa9911da8567d565f15c56a753e54e0121,Misdreavus - 233/217,Misdreavus,ME: Ascended Heroes,ASC,24541,233/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 6, 'mid_price': 7.5, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.81, 'direct_low_price': 6.9, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676045,Misdreavus,"[{'avg': 3.87, 'low': 1.34, 'avg1': 3.57, 'avg7': 3.75, 'avg30': 3.87, 'trend': 4.19, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Misdreavus-V2-ASC233
Card,pk_4a1857463db3bd0b2c73c59b7b418aaa2e6a2ca31b20332abe3a5ae5d09e0bf1aa4de01c82ce7e7e8b3e085c87f54dcf,Mightyena - 243/217,Mightyena,ME: Ascended Heroes,ASC,24541,243/217,Illustration Rare,Darkness,,,,[],,,,"[{'low_price': 8, 'mid_price': 10, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 9.46, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676055,Mightyena,"[{'avg': 6.52, 'low': 3, 'avg1': 7.71, 'avg7': 6.71, 'avg30': 6.53, 'trend': 6.63, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Mightyena-V2-ASC243
Card,pk_eb6542e35eb976cf8f397cd815c38381a61eceb9c07fb909cdc2328568a82364fa01de60ae0c61830ea7d1d64bcda8aa,Snorunt - 227/217,Snorunt,ME: Ascended Heroes,ASC,24541,227/217,Illustration Rare,Water,,,,[],,,,"[{'low_price': 6, 'mid_price': 7.94, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 6.88, 'direct_low_price': 8.24, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676039,Snorunt,"[{'avg': 5.1, 'low': 1.99, 'avg1': 5.31, 'avg7': 4.94, 'avg30': 5.17, 'trend': 5.19, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Snorunt-V2-ASC227
Card,pk_5e009f1ed930817f3e0991d2dd8d24d9417937d2e0953d8bcaec9200ce737e03a8db7def97ff557d7efbc28d1e7537ac,Iono's Wattrel - 231/217,Iono's Wattrel,ME: Ascended Heroes,ASC,24541,231/217,Illustration Rare,Lightning,,,,[],,,,"[{'low_price': 9.99, 'mid_price': 12.5, 'high_price': 128.1, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 11.32, 'direct_low_price': 12.99, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676043,Iono's Wattrel,"[{'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}, {'avg': 5.18, 'low': 1.99, 'avg1': 6.14, 'avg7': 5.27, 'avg30': 5.33, 'trend': 5.43, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Ionos-Wattrel-V2-ASC231
Card,pk_6cb9fac2afa234abbc629e09f4b755f73c46ea0da6f08284d42bf264a06e149612164ef238a0dbb37c9d49edd6fb7aa6,Vikavolt - 230/217,Vikavolt,ME: Ascended Heroes,ASC,24541,230/217,Illustration Rare,Lightning,,,,[],,,,"[{'low_price': 2, 'mid_price': 3.18, 'high_price': 59.9, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 2.34, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676042,Vikavolt,"[{'avg': 2.36, 'low': 0.65, 'avg1': 2.46, 'avg7': 2.49, 'avg30': 2.38, 'trend': 2.45, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Vikavolt-V2-ASC230
Card,pk_12240f66d8cdc9d49a21b25d80ac09a3f41210ff474c32faf5dc858659c3ce320c53835913147d9497a68d4ee90b8b35,Banette - 234/217,Banette,ME: Ascended Heroes,ASC,24541,234/217,Illustration Rare,Psychic,,,,[],,,,"[{'low_price': 11, 'mid_price': 14, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 12.74, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676046,Banette,"[{'avg': 6.58, 'low': 4, 'avg1': 6.76, 'avg7': 6.41, 'avg30': 6.25, 'trend': 7.18, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Banette-V2-ASC234
Card,pk_bc9d940dbe86023f8fd5c6497716a3faa9f8fc4865e95457841228dec0c07b01557bdfcff6e7a520dfd94b26b949700c,Beautifly - 219/217,Beautifly,ME: Ascended Heroes,ASC,24541,219/217,Illustration Rare,Grass,,,,[],,,,"[{'low_price': 5, 'mid_price': 9, 'high_price': 4321, 'updated_at': '2026-06-13T08:16:22.643322', 'market_price': 8.52, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/676031,Beautifly,"[{'avg': 5, 'low': 1.7, 'avg1': 5.18, 'avg7': 5.18, 'avg30': 4.85, 'trend': 5.25, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-13T07:53:19.767457', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Ascended-Heroes/Beautifly-V2-ASC219
