type,results_id,results_card_info_name,results_card_info_clean_name,results_card_info_set_name,results_card_info_set_code,results_card_info_set_id,results_card_info_card_number,results_card_info_rarity,results_card_info_card_type,results_card_info_hp,results_card_info_stage,results_card_info_card_text,results_card_info_attacks,results_card_info_weakness,results_card_info_resistance,results_card_info_retreat_cost,results_tcgplayer_prices,results_tcgplayer_url,results_cardmarket_product_name,results_cardmarket_prices,results_cardmarket_product_url,results_cardmarket
Card,pk_d48425dbfbbe0deec451c1b733ab03609a3ce69816de28e42bf13cb3011673c0aff0419defd41cffe21394f882cb7a,Staryu,Staryu,ME03: Perfect Order,POR,24587,020/088,Common,Water,70.0,Basic,,['[W] Water Gun (20)'],Lx2,,1.0,"[{'low_price': 0.01, 'mid_price': 0.18, 'high_price': 18.5, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.19, 'direct_low_price': 0.11, 'sub_type_name': 'Normal'}, {'low_price': 0.01, 'mid_price': 0.25, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.23, 'direct_low_price': 0.49, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/684374,Staryu,"[{'avg': 0.13, 'low': 0.02, 'avg1': 0.08, 'avg7': 0.13, 'avg30': 0.13, 'trend': 0.12, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}, {'avg': 0.07, 'low': 0.02, 'avg1': 0.06, 'avg7': 0.04, 'avg30': 0.07, 'trend': 0.05, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Staryu-POR020,
Card,pk_ff4840d720ea7ba0c44e585d8f863bbf2903de93a8d9f967c66f8cfcd34eb4d089c93012834e8bef4d8d02b8f81e68,Jacinthe - 075/088,Jacinthe,ME03: Perfect Order,POR,24587,075/088,Uncommon,Trainer - Supporter,,,,[],,,,"[{'low_price': 0.01, 'mid_price': 0.15, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.14, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}, {'low_price': 0.01, 'mid_price': 0.24, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.23, 'direct_low_price': 0.2, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/684393,Jacinthe,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.03, 'avg7': 0.03, 'avg30': 0.04, 'trend': 0.03, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.11, 'low': 0.02, 'avg1': 0.06, 'avg7': 0.09, 'avg30': 0.11, 'trend': 0.08, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Jacinthe-V1-POR075,
Card,pk_9a566c22d95bc1f0f907c0d57a0ad942b552a239c172dcb227c416d9fde6cab5c4d862169572858ea7b857c0379f29,Tyrantrum,Tyrantrum,ME03: Perfect Order,POR,24587,045/088,Rare,Fighting,180.0,Stage 2,,"[""[FC] Wreak Havoc (160)<br> Flip a coin until you get tails. For each heads, discard the top card of your opponent's deck.""]",Gx2,,3.0,"[{'low_price': 0.01, 'mid_price': 0.21, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.28, 'direct_low_price': 0.17, 'sub_type_name': 'Holofoil'}, {'low_price': 0.01, 'mid_price': 0.3, 'high_price': 50, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.3, 'direct_low_price': 0.4, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/684359,Tyrantrum,"[{'avg': 0.09, 'low': 0.02, 'avg1': 0.11, 'avg7': 0.07, 'avg30': 0.07, 'trend': 0.07, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.14, 'low': 0.02, 'avg1': 0.14, 'avg7': 0.16, 'avg30': 0.15, 'trend': 0.15, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Tyrantrum-POR045,
Card,pk_24eb8807032aac1a291633037f3c6909bca40e323fe87fcc3a2f5418977b2c9dc071414ab043243cd59f5b0da9e103,Mega Starmie ex - 021/088,Mega Starmie ex,ME03: Perfect Order,POR,24587,021/088,Double Rare,Water,330.0,Stage 1,,"[""[W] Jetting Blow (120)<br> This attack also does 50 damage to 1 of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>"", ""[CCC] Nebula Beam (210)<br> This attack's damage isn't affected by Weakness or Resistance, or by any effects on your opponent's Active Pokémon.""]",Lx2,,2.0,"[{'low_price': 0.2, 'mid_price': 1, 'high_price': 4321, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 1.04, 'direct_low_price': 1, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/684360,Mega Starmie ex,"[{'avg': 1.43, 'low': 0.2, 'avg1': 1.37, 'avg7': 1.36, 'avg30': 1.41, 'trend': 1.41, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Mega-Starmie-ex-V1-POR021,
Card,pk_4be8c2bd7b1e5fe6aedfba5b8c4c4d27776e858296ff1dd13aae528c5a6436544eb067d6bd5b4db4dc6ab98d8fcbf4,Aromatisse,Aromatisse,ME03: Perfect Order,POR,24587,036/088,Uncommon,Psychic,120.0,Stage 1,,['[PC] Draining Kiss (50)<br> Heal 30 damage from this Pokémon.'],Mx2,,1.0,"[{'low_price': 0.01, 'mid_price': 0.25, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.24, 'direct_low_price': 0.21, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.14, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.08, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684421,Aromatisse,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.04, 'avg7': 0.03, 'avg30': 0.03, 'trend': 0.03, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.1, 'low': 0.02, 'avg1': 0.15, 'avg7': 0.08, 'avg30': 0.1, 'trend': 0.08, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Aromatisse-POR036,
Card,pk_a889cb3e05417faed8b11ab464eabce36649ff03f81739f45041c1e7a90840b386f428d835a73c71962efe3e2b2f59,Volcanion,Volcanion,ME03: Perfect Order,POR,24587,025/088,Uncommon,Water,130.0,Basic,,"['[WC] Strength (50)', '[WWC] Powerful Steam (90x)<br> Flip a coin for each Water Energy attached to this Pokémon. This attack does 90 damage for each heads.']",Lx2,,3.0,"[{'low_price': 0.01, 'mid_price': 0.21, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.22, 'direct_low_price': 0.1, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.12, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.06, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684408,Volcanion,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.02, 'avg30': 0.02, 'trend': 0.02, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.09, 'low': 0.02, 'avg1': 0.12, 'avg7': 0.09, 'avg30': 0.09, 'trend': 0.08, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Volcanion-POR025,
Card,pk_158426023282b55f8d57a5f4da9a94a5bfc073f5285b5116fd278044b2cdd97597023ccdc7a67c39a9df265335e6ca,Energy Swatter,Energy Swatter,ME03: Perfect Order,POR,24587,073/088,Uncommon,Trainer - Item,,,,[],,,,"[{'low_price': 0.01, 'mid_price': 0.23, 'high_price': 4321, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.25, 'direct_low_price': 0.09, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.15, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.12, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684388,Energy Swatter,"[{'avg': 0.11, 'low': 0.02, 'avg1': 0.1, 'avg7': 0.11, 'avg30': 0.11, 'trend': 0.11, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}, {'avg': 0.04, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.02, 'avg30': 0.04, 'trend': 0.02, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Energy-Swatter-POR073,
Card,pk_3b4f7538b8c13d2bae5e522946b18cf0d38de0eec75c2a504df0d1309d14098bff553d97dda2945204cf47d4e555,Vivillon,Vivillon,ME03: Perfect Order,POR,24587,009/088,Uncommon,Grass,120.0,Stage 2,,"['[G] Blow Through (60+)<br> If a Stadium is in play, this attack does 60 more damage.']",Rx2,,1.0,"[{'low_price': 0.01, 'mid_price': 0.22, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.22, 'direct_low_price': 0.21, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.15, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.05, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684366,Vivillon,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'trend': 0.04, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.1, 'low': 0.02, 'avg1': 0.08, 'avg7': 0.1, 'avg30': 0.1, 'trend': 0.09, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Vivillon-POR009,
Card,pk_5278dd338a1e41f380e98376f15abbf045fcf89241d91fc3027bb4d67fd1917cbd6734e94a6fc903e0aa9cd23e9044,Rowlet - 010/088,Rowlet,ME03: Perfect Order,POR,24587,010/088,Common,Grass,80.0,Basic,,"['[G] Find a Friend<br> Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.', '[CCC] Tackle (30)']",Rx2,,2.0,"[{'low_price': 0.02, 'mid_price': 0.24, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.26, 'direct_low_price': 0.24, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.15, 'high_price': 19.98, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.07, 'direct_low_price': 0.05, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684367,Rowlet,"[{'avg': 0.09, 'low': 0.02, 'avg1': 0.06, 'avg7': 0.09, 'avg30': 0.09, 'trend': 0.09, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}, {'avg': 0.04, 'low': 0.02, 'avg1': 0.16, 'avg7': 0.05, 'avg30': 0.04, 'trend': 0.05, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Rowlet-V1-POR010,
Card,pk_6f8aba63f2a69c5ce58558b5e6f4c86c93f38f7d2dd34aede141bc4084375d146be8a69741fdef31bde182d22c5d3f,Aegislash,Aegislash,ME03: Perfect Order,POR,24587,058/088,Uncommon,Metal,150.0,Stage 2,,"['[CCC] Slash (80)', ""[MCCC] Metal Slash (230)<br> During your next turn, this Pokémon can't use attacks.""]",Rx2,G-30,3.0,"[{'low_price': 0.01, 'mid_price': 0.25, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.27, 'direct_low_price': 0.21, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.15, 'high_price': 17.7, 'updated_at': '2026-06-14T08:36:45.258668', 'market_price': 0.09, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/684381,Aegislash,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.02, 'avg30': 0.03, 'trend': 0.03, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'normal'}, {'avg': 0.12, 'low': 0.02, 'avg1': 0.11, 'avg7': 0.09, 'avg30': 0.12, 'trend': 0.09, 'updated_at': '2026-06-14T08:19:40.768659', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Aegislash-POR058,
