type,results_id,results_card_info_name,results_card_info_clean_name,results_card_info_set_name,results_card_info_set_code,results_card_info_set_id,results_card_info_card_number,results_card_info_rarity,results_card_info_card_type,results_card_info_hp,results_card_info_stage,results_card_info_card_text,results_card_info_attacks,results_card_info_weakness,results_card_info_resistance,results_card_info_retreat_cost,results_tcgplayer_prices,results_tcgplayer_url,results_cardmarket_product_name,results_cardmarket_prices,results_cardmarket_product_url,results_cardmarket
Card,pk_5ab43b78206e941e5c4614ac99745fc8be31865f46e4eb6990ddc60989a2d0bfeed767469d4781dbd63fea91e31450,Iron Boulder,Iron Boulder,SV: Prismatic Evolutions,PRE,23821,046/131,Rare,Psychic,140.0,Basic,,"[""[PC] Adjusted Horn (170)<br> If you don't have the same number of cards in your hand as your opponent, this attack does nothing.""]",Dx2,F-30,3.0,"[{'low_price': 0.02, 'mid_price': 0.18, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.17, 'direct_low_price': 0.07, 'sub_type_name': 'Holofoil'}, {'low_price': 0.02, 'mid_price': 0.2, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.17, 'direct_low_price': 0.1, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/610401,Iron Boulder,"[{'avg': 0.05, 'low': 0.02, 'avg1': 0.06, 'avg7': 0.05, 'avg30': 0.05, 'trend': 0.09, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}, {'avg': 0.11, 'low': 0.02, 'avg1': 0.12, 'avg7': 0.12, 'avg30': 0.11, 'trend': 0.12, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Iron-Boulder-PRE046,
Card,pk_76b79f3daecc03b6347ea834581e69fb518bfcbab3c159ef705c31e9b3bd3a1db93e209baabe3b72d82cde46ad09,Litleo,Litleo,SM - Forbidden Light,SM06,2209,18/131,Common,Fire,70.0,Basic,,['[2] Headbutt (20)'],Wx2,,2.0,"[{'low_price': 15.29, 'mid_price': 17.65, 'high_price': 20, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 1.26, 'direct_low_price': None, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.12, 'mid_price': 0.4, 'high_price': 19.98, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 0.4, 'direct_low_price': None, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/165665,Litleo,"[{'avg': 0.18, 'low': 0.02, 'avg1': 0.09, 'avg7': 0.17, 'avg30': 0.16, 'trend': 0.28, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'normal'}, {'avg': 1.18, 'low': 0.15, 'avg1': 2, 'avg7': 1.11, 'avg30': 0.64, 'trend': 1.15, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Litleo-FLI018,
Card,pk_aa8e5eb1f60ae7d5f993d275616584fcd45500393d902a15fdec19648ad127dcccf6886813cfb44f5d8efa2206a65b,Remoraid,Remoraid,CP4: Premium Champion Pack,CP4,23972,024/131,,Water,60.0,Basic,,"['[Colorless] Wild River<br> Switch this Pokémon with 1 of your Benched Pokémon.', '[Water][Colorless] Water Gun (20)']",Grass x2,,1.0,"[{'low_price': 2.5, 'mid_price': 4.95, 'high_price': 7.89, 'updated_at': '2026-06-07T08:18:41.300825', 'market_price': None, 'direct_low_price': None, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/605521,Remoraid,"[{'avg': 0.35, 'low': 0.2, 'avg1': 0.3, 'avg7': 0.7, 'avg30': 0.71, 'trend': 0.58, 'updated_at': '2026-06-07T07:58:42.177899', 'variant_type': 'holo'}, {'avg': None, 'low': 0.2, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-07T07:58:42.177899', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Remoraid,
Card,pk_158b1bcc595b438ba4cdabd8acc93ba8e22f92daef76ba3879b9a713ae94ba78848d70edc9fb7cb3cb2a984278ea961b,Max Rod,Max Rod,SV: Prismatic Evolutions,PRE,23821,116/131,ACE SPEC Rare,Trainer - Item,,,Put up to 5 in any combination of Pokemon and Basic Energy cards from your discard pile into your hand.,[],,,,"[{'low_price': 0.24, 'mid_price': 0.87, 'high_price': 4321, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.74, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/610471,Max Rod,"[{'avg': 0.94, 'low': 0.1, 'avg1': 1.5, 'avg7': 0.95, 'avg30': 0.95, 'trend': 0.98, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Max-Rod-PRE116,
Card,pk_2cd9bea42f226b8ab2619d3553a1fbc537c38978cf75cbda8fa6c46aad6408947b4f4d015a1302a6a113b01409e9d4,Flareon,Flareon,SV: Prismatic Evolutions,PRE,23821,013/131,Rare,Fire,130.0,Stage 1,,"[""[R] Destructive Flame (30)<br> Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."", ""[RCC] Fighting Blaze (90+)<br> If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.""]",Wx2,,2.0,"[{'low_price': 0.01, 'mid_price': 0.31, 'high_price': 4321, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.32, 'direct_low_price': 0.18, 'sub_type_name': 'Holofoil'}, {'low_price': 0.01, 'mid_price': 0.36, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.33, 'direct_low_price': 0.27, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/610368,Flareon,"[{'avg': 0.29, 'low': 0.02, 'avg1': 0.24, 'avg7': 0.34, 'avg30': 0.28, 'trend': 0.32, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}, {'avg': 0.25, 'low': 0.02, 'avg1': 0.11, 'avg7': 0.17, 'avg30': 0.25, 'trend': 0.18, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Flareon-PRE013,
Card,pk_f40bc8c16fbe46cf256e855dab87de2bec6699fad3d2e16a884aa29eb1cd15d9122a9f83ad9ea1fb4ccdf0a6c836,Eevee - 074/131 (Pokemon Day 2025) (Reverse Cosmos Holo),Eevee 074 131 Pokemon Day 2025 Reverse Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,074/131,Promo,Colorless,50.0,Basic,"<strong>Ability: Boosted Evolution</strong> As long as this Pokemon is in the Active Spot, it can evolve during your first turn or the turn you play it.",['[CC] Reckless Charge (30)<br> This Pokemon also does 10 damage to itself.'],Fx2,,1.0,"[{'low_price': 2.49, 'mid_price': 5.19, 'high_price': 96.95, 'updated_at': '2026-06-07T08:18:38.119676', 'market_price': 4.93, 'direct_low_price': 5.17, 'sub_type_name': 'Reverse Holofoil'}]",https://www.tcgplayer.com/product/619725,,,,
Card,pk_e96929245d8c2304912e06561412305b68f50e21b8e11439be06147f41419b2120aafc3071c0530e9254d02175a0,Frogadier,Frogadier,SM - Forbidden Light,SM06,2209,23/131,Uncommon,Water,80.0,Stage 1,"<strong>Ability — Gale Shuriken</strong>
<br>When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 2 damage counters on 1 of your opponent's Pokémon.",['[W] Water Drip (20)'],Gx2,,1.0,"[{'low_price': 0.25, 'mid_price': 1.18, 'high_price': 19.98, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 1.08, 'direct_low_price': 1.47, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.22, 'mid_price': 0.49, 'high_price': 3.84, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 0.47, 'direct_low_price': 0.44, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/165672,Frogadier,"[{'avg': 0.13, 'low': 0.02, 'avg1': 0.06, 'avg7': 0.12, 'avg30': 0.19, 'trend': 0.15, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'normal'}, {'avg': 1.48, 'low': 0.2, 'avg1': 1, 'avg7': 0.91, 'avg30': 0.91, 'trend': 1.15, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Frogadier-FLI23,
Card,pk_b1f1b167dc406cae90cdef0cc9c55d2f1aa960c304e04d8afe9d95c324aeb9f102ad4a4828dcb520c53f3003e674,Clauncher,Clauncher,SM - Forbidden Light,SM06,2209,25/131,Common,Water,60.0,Basic,,['[W] Water Gun (10)'],Gx2,,1.0,"[{'low_price': 0.15, 'mid_price': 0.4, 'high_price': 19.98, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 0.34, 'direct_low_price': None, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.04, 'mid_price': 0.2, 'high_price': 19.98, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 0.15, 'direct_low_price': None, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/165676,Clauncher,"[{'avg': 0.36, 'low': 0.12, 'avg1': 0.3, 'avg7': 0.43, 'avg30': 0.36, 'trend': 0.43, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'holo'}, {'avg': 0.08, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.06, 'avg30': 0.07, 'trend': 0.11, 'updated_at': '2026-06-07T07:58:38.080911', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Forbidden-Light/Clauncher-FLI025,
Card,pk_cfae38928980427945ba00a8afd9bb4c32f0bc4efca8089d442a9e7f40681bb0175330e929ea39732ec0139e675e9b0d,Sky Field,Sky Field,CP4: Premium Champion Pack,CP4,23972,129/131,,Trainer - Stadium,,,,[],,,,"[{'low_price': 5, 'mid_price': 6.5, 'high_price': 8, 'updated_at': '2026-06-07T08:18:41.300825', 'market_price': None, 'direct_low_price': None, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/605626,Sky Field,"[{'avg': None, 'low': 1.49, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-07T07:58:42.177899', 'variant_type': 'normal'}, {'avg': 3, 'low': 1.5, 'avg1': 3, 'avg7': 2.06, 'avg30': 2.19, 'trend': 2.32, 'updated_at': '2026-06-07T07:58:42.177899', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Premium-Champion-Pack/Sky-Field,
Card,pk_4d4b2e8f9c51818a411010d1c3c2e44797e009d16fde05749c7316b8b2053255345ded12b481a6bc3de1eaf265d86b,Beast Energy Prism Star - 2018 (Naohito Inoue),Beast Energy Prism Star 2018 Naohito Inoue,World Championship Decks,WCD,2282,117/131,Uncommon,Special Energy,,,"This card provides 1 Colorless Energy.
<br>While this card is attached to an Ultra Beast, it provides every type of Energy but provides only 1 Energy at a time. The attacks of the Ultra Beast this card is attached to do 30 more damage to your opponent's Active Pokémon <em>(before applying Weakness and Resistance)</em>.",[],,,,"[{'low_price': 1.92, 'mid_price': 8, 'high_price': 93.4, 'updated_at': '2026-06-07T08:18:32.103877', 'market_price': 2.02, 'direct_low_price': None, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/481934,,,,
Card,pk_be9088c14ce71e26f2224a16593c8844805f07d4858d413d73549fc85f409e292f69905085849644a4cd758f2d4a0a,Teal Mask Ogerpon ex - 012/131,Teal Mask Ogerpon ex,SV: Prismatic Evolutions,PRE,23821,012/131,Double Rare,Grass,210.0,Basic,"<strong>Ability: Teal Dance</strong> Once during your turn, you may attach a Basic Grass Energy card from your hand to this Pokemon. If you attached Energy to a Pokemon in this way, draw a card.",['[GGG] Myriad Leaf Shower (30+)<br> This attack does 30 more damage for each Energy attached to both Active Pokemon.'],Rx2,,1.0,"[{'low_price': 2.8, 'mid_price': 4.03, 'high_price': 4321, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 3.53, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/610367,Teal Mask Ogerpon ex,"[{'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}, {'avg': 4.16, 'low': 1.9, 'avg1': 3.89, 'avg7': 3.98, 'avg30': 4.05, 'trend': 4.18, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Teal-Mask-Ogerpon-ex-V1-PRE012,
Card,pk_23f2668dc408880bdc6cd0eaa15baa663bdaa4ac767a886783e4621b585e1d1a11f9d68f9572238a773b1ffd9c58e9d5,Glass Trumpet (Poke Ball Pattern),Glass Trumpet Poke Ball Pattern,SV: Prismatic Evolutions,PRE,23821,110/131,Uncommon,Trainer - Item,,,You can use this card only if you have any Tera Pokemon in play.<br>Choose up to 2 of your Benched Colorless Pokemon and attach a Basic Energy card from your discard pile to each of them.,[],,,,"[{'low_price': 0.01, 'mid_price': 0.34, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.3, 'direct_low_price': 0.33, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/610621,Glass Trumpet,"[{'avg': 0.04, 'low': 0.02, 'avg1': 0.03, 'avg7': 0.03, 'avg30': 0.04, 'trend': 0.03, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}, {'avg': 0.11, 'low': 0.02, 'avg1': 0.05, 'avg7': 0.06, 'avg30': 0.1, 'trend': 0.09, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glass-Trumpet-PRE110,
Card,pk_72899eadafb368452d2bc9261fc0b31381fe4454dae0a0bbb1c9902a10bfdfcccee51cca9b55722bb61f893560e2c3,Glaceon ex - 026/131,Glaceon ex,Prize Pack Series Cards,22880,22880,026/131,Double Rare,Water,270.0,Stage 1,,"[""[WC] Frost Bullet (110)<br> This attack also does 30 damage to 1 of your opponent's Benched Pokemon. <em>(Don't apply Weakness and Resistance for Benched Pokemon.)</em>"", ""[GWD] Euclase<br> Knock Out 1 of your opponent's Pokemon that has exactly 6 damage counters on it.""]",Mx2,,1.0,"[{'low_price': 14, 'mid_price': 22.05, 'high_price': 156.8, 'updated_at': '2026-06-07T08:18:28.653306', 'market_price': 19.68, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/648647,,,,
Card,pk_4c15ca6ee6d9c4c45b108a0d61db20429b08b7c3c0b9142c7ee75096a981b25fda2bbef437acfd194b4d745f3d47,Flareon - 013/131 (Cosmos Holo),Flareon 013 131 Cosmos Holo,Miscellaneous Cards & Products,MCAP,2374,013/131,Rare,Fire,130.0,Stage 1,,"[""[R] Destructive Flame (30)<br> Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."", ""[RCC] Fighting Blaze (90+)<br> If your opponent's Active Pokemon is a Pokemon ex or Pokemon V, this attack does 90 more damage.""]",Wx2,,3.0,"[{'low_price': 0.73, 'mid_price': 1.25, 'high_price': 19.98, 'updated_at': '2026-06-07T08:18:38.119676', 'market_price': 1.1, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/654775,,,,
Card,pk_c17f8434747342a12e4e0e2d11272294b7c9a83e636a2d3c51080558dc8da97100d511e56e7387827092dbc3f077ab,Spritzee,Spritzee,SV: Prismatic Evolutions,PRE,23821,038/131,Common,Psychic,60.0,Basic,,['[P] Fairy Wind (20)'],Mx2,,1.0,"[{'low_price': 0.01, 'mid_price': 0.19, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.16, 'direct_low_price': 0.06, 'sub_type_name': 'Reverse Holofoil'}, {'low_price': 0.01, 'mid_price': 0.13, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 0.11, 'direct_low_price': 0.01, 'sub_type_name': 'Normal'}]",https://www.tcgplayer.com/product/610393,Spritzee,"[{'avg': 0.03, 'low': 0.02, 'avg1': 0.02, 'avg7': 0.03, 'avg30': 0.03, 'trend': 0.02, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}, {'avg': 0.07, 'low': 0.02, 'avg1': 0.11, 'avg7': 0.07, 'avg30': 0.07, 'trend': 0.07, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Spritzee-PRE038,
Card,pk_43d1f9dc7cbb28a17616ad2d5a66288a69ff60fee639e050bdd981c38726ba1d9db2c396bfcc5d0535d42f03d12d,Sylveon ex - 041/131 (Prismatic Evolutions Stamp),Sylveon ex 041 131 Prismatic Evolutions Stamp,Miscellaneous Cards & Products,MCAP,2374,041/131,Promo,Psychic,270.0,Stage 1,,"[""[PCC] Magical Charm (160)<br> During your opponent's next turn, attacks used by the Defending Pokemon do 100 less damage <em>(before applying Weakness and Resistance)</em>."", ""[WLP] Angelite<br> Choose 2 of your opponent's Benched Pokemon. Shuffle those Pokemon and all attached cards into your opponent's deck. If 1 of your Pokemon used Angelite during your last turn, this attack can't be used.""]",Mx2,,2.0,"[{'low_price': 7.62, 'mid_price': 11.99, 'high_price': 4321, 'updated_at': '2026-06-07T08:18:38.119676', 'market_price': 10.24, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/618119,,,,
Card,pk_1d96f17d108bbd2917a7b55028934e1957abe01413540114976260ef557efdea921edde71795dc30f270156c06fdbf,Jolteon ex - 030/131,Jolteon ex,Prize Pack Series Cards,22880,22880,030/131,Double Rare,Lightning,260.0,Stage 1,,"['[LC] Flashing Spear (60+)<br> You may discard up to 2 Basic Energy from your Benched Pokemon. This attack does 90 more damage for each card you discarded in this way.', ""[RWL] Dravite (280)<br> During your next turn, this Pokemon can't attack.""]",Fx2,,0.0,"[{'low_price': 22.5, 'mid_price': 27.81, 'high_price': 163, 'updated_at': '2026-06-07T08:18:28.653306', 'market_price': 22.81, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/648666,,,,
Card,pk_4181d00ae20cd7879ae238fca56a93b35b7b2bcb2302d5d05cd571073b333b6c4a84ceef3251249faa0c43be961f9eed,Lacey - 175/131,Lacey,SV: Prismatic Evolutions,PRE,23821,175/131,Special Illustration Rare,Trainer - Supporter,,,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead.",[],,,,"[{'low_price': 27.74, 'mid_price': 30.98, 'high_price': 999, 'updated_at': '2026-06-07T08:18:25.063387', 'market_price': 28.19, 'direct_low_price': None, 'sub_type_name': 'Holofoil'}]",https://www.tcgplayer.com/product/610530,Lacey,"[{'avg': 23.53, 'low': 17.39, 'avg1': 32, 'avg7': 23.14, 'avg30': 23.04, 'trend': 23.99, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'normal'}, {'avg': None, 'low': None, 'avg1': None, 'avg7': None, 'avg30': None, 'trend': 0, 'updated_at': '2026-06-07T07:58:50.864461', 'variant_type': 'holo'}]",https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Lacey-V2-PRE175,
