type,tcgplayer_url,cardmarket_url,card_info_name,card_info_clean_name,card_info_set_name,card_info_set_code,card_info_set_id,card_info_card_number,card_info_rarity,card_info_card_type,card_info_hp,card_info_stage,card_info_card_text,card_info_attacks,card_info_weakness,card_info_resistance,card_info_retreat_cost,tcgplayer_prices_low_price,tcgplayer_prices_mid_price,tcgplayer_prices_high_price,tcgplayer_prices_updated_at,tcgplayer_prices_market_price,tcgplayer_prices_direct_low_price,tcgplayer_prices_sub_type_name,cardmarket_prices_avg,cardmarket_prices_low,cardmarket_prices_avg1,cardmarket_prices_avg7,cardmarket_prices_avg30,cardmarket_prices_trend,cardmarket_prices_updated_at,cardmarket_prices_variant_type,tcgplayer_prices,cardmarket_prices
Card,https://www.tcgplayer.com/product/610465,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Glass-Trumpet-PRE110,Glass Trumpet,Glass Trumpet,SV: Prismatic Evolutions,PRE,23821,110/131,Uncommon,Trainer - Item,,,You can use this card only if you have any Tera Pokemon in play.<br>Choose up to 2 of your Benched Colorless Pokemon and attach a Basic Energy card from your discard pile to each of them.,[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.08,0.01,Normal,0.04,0.02,0.03,0.03,0.04,0.03,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Jolteon-ex-V1-PRE030,Jolteon ex,,,PRE,23821,30,,,,,,,,,,,,,,,,,3.09,0.9,2.97,3.24,3.11,3.12,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610474,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Prime-Catcher-PRE119,Prime Catcher,Prime Catcher,SV: Prismatic Evolutions,PRE,23821,119/131,ACE SPEC Rare,Trainer - Item,,,"Switch in 1 of your opponent's Benched Pokemon to the Active Spot. If you do, switch your Active Pokemon with 1 of your Benched Pokemon.",[],,,,0.09,0.75,4321.0,2026-06-12T08:53:22.81957,0.74,0.6,Holofoil,0.67,0.1,0.72,0.66,0.67,0.72,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610487,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Amarys-V2-PRE132,Amarys - 132/131,Amarys,SV: Prismatic Evolutions,PRE,23821,132/131,Ultra Rare,Trainer - Supporter,,,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand.",[],,,,0.15,0.78,4321.0,2026-06-12T08:53:22.81957,0.53,0.56,Holofoil,0.77,0.02,0.88,0.81,0.77,0.74,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Larvitar-PRE047,Larvitar,,,PRE,23821,47,,,,,,,,,,,,,,,,,0.04,0.02,0.02,0.03,0.04,0.04,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610472,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Maximum-Belt-PRE117,Maximum Belt,Maximum Belt,SV: Prismatic Evolutions,PRE,23821,117/131,ACE SPEC Rare,Trainer - Pokemon Tool,,,Attacks used by the Pokemon this card is attached to do 50 more damage to your opponent's Active Pokemon ex <em>(before applying Weakness and Resistance)</em>.,[],,,,0.1,0.66,4321.0,2026-06-12T08:53:22.81957,0.49,,Holofoil,1.21,0.1,1.85,1.31,1.21,1.36,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Iron-Boulder-PRE046,Iron Boulder,,,PRE,23821,46,,,,,,,,,,,,,,,,,0.05,0.02,0.06,0.05,0.05,0.08,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610481,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Rescue-Board-PRE126,Rescue Board,Rescue Board,SV: Prismatic Evolutions,PRE,23821,126/131,Uncommon,Trainer - Pokemon Tool,,,"The Retreat Cost of the Pokemon this card is attached to is Colorless less. If that Pokemon's remaining HP is 30 or less, it has no Retreat Cost.",[],,,,0.01,0.15,999.0,2026-06-12T08:53:22.81957,0.1,0.01,Normal,0.02,0.02,0.02,0.02,0.02,0.03,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Dusclops-PRE036,Dusclops,,,PRE,23821,36,,,,,,,,,,,,,,,,,0.18,0.02,0.27,0.18,0.17,0.12,2026-06-12T08:38:23.984889,holo,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Snorlax-ex-PRE076,Snorlax ex,,,PRE,23821,76,,,,,,,,,,,,,,,,,1.17,0.15,1.05,1.36,1.19,1.32,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Wellspring-Mask-Ogerpon-ex-V1-PRE027,Wellspring Mask Ogerpon ex,,,PRE,23821,27,,,,,,,,,,,,,,,,,0.98,0.2,1.38,1.09,0.98,1.06,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Espeon-ex-V1-PRE034,Espeon ex,,,PRE,23821,34,,,,,,,,,,,,,,,,,2.91,0.69,2.58,2.97,2.92,2.9,2026-06-12T08:38:23.984889,normal,,
Card,https://www.tcgplayer.com/product/610494,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Larrys-Skill-V2-PRE139,Larry's Skill - 139/131,Larry's Skill,SV: Prismatic Evolutions,PRE,23821,139/131,Ultra Rare,Trainer - Supporter,,,"Discard your hand and search your deck for a Pokemon, a Supporter card, and a Basic Energy card, reveal them, and put them into your hand. Then, shuffle your deck.",[],,,,0.3,1.0,999.0,2026-06-12T08:53:22.81957,0.97,,Holofoil,1.16,0.15,1.23,1.17,1.17,1.02,2026-06-12T08:38:23.984889,normal,,
Card,,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Dudunsparce-PRE080,Dudunsparce,,,PRE,23821,80,,,,,,,,,,,,,,,,,0.25,0.02,0.3,0.27,0.25,0.31,2026-06-12T08:38:23.984889,normal,,
