id,name,set_name,set_code,set_id,rarity,card_type
pk_5ab43b78206e941e5c4614ac99745fc8be31865f46e4eb6990ddc60989a2d0bfeed767469d4781dbd63fea91e31450,Iron Boulder,SV: Prismatic Evolutions,PRE,23821,Rare,Psychic
pk_76b79f3daecc03b6347ea834581e69fb518bfcbab3c159ef705c31e9b3bd3a1db93e209baabe3b72d82cde46ad09,Litleo,SM - Forbidden Light,SM06,2209,Common,Fire
pk_aa8e5eb1f60ae7d5f993d275616584fcd45500393d902a15fdec19648ad127dcccf6886813cfb44f5d8efa2206a65b,Remoraid,CP4: Premium Champion Pack,CP4,23972,,Water
pk_158b1bcc595b438ba4cdabd8acc93ba8e22f92daef76ba3879b9a713ae94ba78848d70edc9fb7cb3cb2a984278ea961b,Max Rod,SV: Prismatic Evolutions,PRE,23821,ACE SPEC Rare,Trainer - Item
pk_2cd9bea42f226b8ab2619d3553a1fbc537c38978cf75cbda8fa6c46aad6408947b4f4d015a1302a6a113b01409e9d4,Flareon,SV: Prismatic Evolutions,PRE,23821,Rare,Fire
pk_f40bc8c16fbe46cf256e855dab87de2bec6699fad3d2e16a884aa29eb1cd15d9122a9f83ad9ea1fb4ccdf0a6c836,Eevee - 074/131 (Pokemon Day 2025) (Reverse Cosmos Holo),Miscellaneous Cards & Products,MCAP,2374,Promo,Colorless
pk_e96929245d8c2304912e06561412305b68f50e21b8e11439be06147f41419b2120aafc3071c0530e9254d02175a0,Frogadier,SM - Forbidden Light,SM06,2209,Uncommon,Water
pk_b1f1b167dc406cae90cdef0cc9c55d2f1aa960c304e04d8afe9d95c324aeb9f102ad4a4828dcb520c53f3003e674,Clauncher,SM - Forbidden Light,SM06,2209,Common,Water
pk_cfae38928980427945ba00a8afd9bb4c32f0bc4efca8089d442a9e7f40681bb0175330e929ea39732ec0139e675e9b0d,Sky Field,CP4: Premium Champion Pack,CP4,23972,,Trainer - Stadium
pk_4d4b2e8f9c51818a411010d1c3c2e44797e009d16fde05749c7316b8b2053255345ded12b481a6bc3de1eaf265d86b,Beast Energy Prism Star - 2018 (Naohito Inoue),World Championship Decks,WCD,2282,Uncommon,Special Energy
pk_be9088c14ce71e26f2224a16593c8844805f07d4858d413d73549fc85f409e292f69905085849644a4cd758f2d4a0a,Teal Mask Ogerpon ex - 012/131,SV: Prismatic Evolutions,PRE,23821,Double Rare,Grass
pk_23f2668dc408880bdc6cd0eaa15baa663bdaa4ac767a886783e4621b585e1d1a11f9d68f9572238a773b1ffd9c58e9d5,Glass Trumpet (Poke Ball Pattern),SV: Prismatic Evolutions,PRE,23821,Uncommon,Trainer - Item
pk_72899eadafb368452d2bc9261fc0b31381fe4454dae0a0bbb1c9902a10bfdfcccee51cca9b55722bb61f893560e2c3,Glaceon ex - 026/131,Prize Pack Series Cards,22880,22880,Double Rare,Water
pk_4c15ca6ee6d9c4c45b108a0d61db20429b08b7c3c0b9142c7ee75096a981b25fda2bbef437acfd194b4d745f3d47,Flareon - 013/131 (Cosmos Holo),Miscellaneous Cards & Products,MCAP,2374,Rare,Fire
pk_c17f8434747342a12e4e0e2d11272294b7c9a83e636a2d3c51080558dc8da97100d511e56e7387827092dbc3f077ab,Spritzee,SV: Prismatic Evolutions,PRE,23821,Common,Psychic
pk_43d1f9dc7cbb28a17616ad2d5a66288a69ff60fee639e050bdd981c38726ba1d9db2c396bfcc5d0535d42f03d12d,Sylveon ex - 041/131 (Prismatic Evolutions Stamp),Miscellaneous Cards & Products,MCAP,2374,Promo,Psychic
pk_1d96f17d108bbd2917a7b55028934e1957abe01413540114976260ef557efdea921edde71795dc30f270156c06fdbf,Jolteon ex - 030/131,Prize Pack Series Cards,22880,22880,Double Rare,Lightning
pk_4181d00ae20cd7879ae238fca56a93b35b7b2bcb2302d5d05cd571073b333b6c4a84ceef3251249faa0c43be961f9eed,Lacey - 175/131,SV: Prismatic Evolutions,PRE,23821,Special Illustration Rare,Trainer - Supporter
pk_d5f71e4df64e02c80a49cb6891fa8917325c3837e55a8374667214781c86f293bf8291c9d20fd67ef40dec976bc3,Honedge (47),SM - Forbidden Light,SM06,2209,Common,Psychic
pk_6f384516237e3065800c4ad7813a78ae270eef352d0b7f6a2b8a684cc2b0cc30a5ab46a3c3f6398f137008b152767c,Cubchoo,CP4: Premium Champion Pack,CP4,23972,,Water
pk_795499dc943c44791cf0fc9758d77294037444c558dcc44cc69bd89df3a6bf9afb7d62a0eca199238e030f2bf21c,Froakie (22),SM - Forbidden Light,SM06,2209,Common,Water
pk_3d9764cafc3de33af07ac15f327ab6d927c671d8817f5d85be30f1f8192a7f38c2e7b3806fa21ed9daf4023efd9c523a,Gengar Spirit Link,CP4: Premium Champion Pack,CP4,23972,,Trainer - Item
pk_8f13066c328db528bf471dd8cab65d4c636f3f6f6146bc92c5136fdde3566658480fa204894ba229b20b1a82e0e3ca,Delphox,CP4: Premium Champion Pack,CP4,23972,,Fire
pk_17b8c54d982a21cc060e76154f1fa4e80e19667c87dfc4bea37811f181f4df0cf7e0549759ca29c6425a99feb4b50f75,Dimension Valley,CP4: Premium Champion Pack,CP4,23972,,Trainer - Stadium
pk_5bfc96dfcfcf3380a3058c47fb7ecfbee9eb1c04fcc743907e4c4abf8a6fa2c2a872bf4337f50b1930c8586161fbf7,Wailmer,smH: GX Starter Decks,smH,23888,,Water
